Subject,Start date,Description,Start time,All Day Event
REST,5/20/19,Stretch,8:00 AM,False
INTERVAL_SWIM,5/21/19,"Total = 2,500m, MS = 3 sets, 100m + KICK @ PE 7, 200m + PB @ PE 7, 6 x 50m @ PE 8, ",8:00 AM,False
INTERVAL_BIKE,5/22/19,"1:20hr, MS = 3 x 15mins steady, seated climb @ PE 7-9;, 5mins @ PE 5, ",8:00 AM,False
AEROBIC_RUN,5/23/19,"16km @ PE 6-8, Aim for consistent pacing, & fuelling, ",8:00 AM,False
AEROBIC_SWIM,5/24/19,"4 x 600m @ PE 6-8, Increase speed in final, 150m of each set, ",8:00 AM,False
RACE_PACE_BIKE,5/25/19,"50km, MS = 2 x 10km efforts at, desired IM race pace, ",8:00 AM,False
BRICK_DUATHLON,5/26/19,"55km, MS = Run 10km, @ PE 7; Bike 40km @, PE 8; Run 5km @ PE 8, Include warm-up &, cool-down, ",8:00 AM,False
REST,5/27/19,Stretch,8:00 AM,False
INTERVAL_SWIM,5/28/19,"Total = 2,700m, MS = 4 x 200m @ PE 8, 4 x 150m @ PE 8, 4 x 100m @ PE 8, 4 x 50m @ PE 8, ",8:00 AM,False
INTERVAL_BIKE,5/29/19,"1:20hr, MS = 8 x 4mins big gear, high speed @ PE 8-9;, 4mins @ PE 5-6, ",8:00 AM,False
INTERVAL_RUN,5/30/19,"10km, MS = 8 x 1km @ PE 8-9;, 90secs complete rest, ",8:00 AM,False
AEROBIC_SWIM,5/31/19,"4 x 100m @ PE 8, 4 x (300m + PB @ PE 7 /, 200m @ PE 8), 4 x 100m @ PE 8, ",8:00 AM,False
RACE_PACE_BIKE,6/1/19,"50km, MS = 2 x 10km efforts at, desired IM race pace, ",8:00 AM,False
RACE_PACE_RUN,6/2/19,"16km @ PE 5-8, Include 3 x 3km efforts, at desired IM race pace, ",8:00 AM,False
REST,6/3/19,Stretch,8:00 AM,False
INTERVAL_SWIM,6/4/19,"Total = 2,500m, MS = 3 x (100m + KICK, @ PE 7;, 200m + PB @ PE 7;, 6 x 50m @ PE 8), ",8:00 AM,False
INTERVAL_BIKE,6/5/19,"1:20hr, MS = 3 x 15mins steady, seated climb @ PE 7-9;, 5mins @ PE 5, ",8:00 AM,False
INTERVAL_RUN,6/6/19,"11km, MS = 9 x 1km @ PE 8-9;, 90secs complete rest, ",8:00 AM,False
AEROBIC_SWIM,6/7/19,"5 x 500m @ PE 6-8, Increase speed in final, 150m of each set, ",8:00 AM,False
RACE_PACE_BIKE,6/8/19,"40km, MS = 1 x 15km effort at, desired IM race pace, ",8:00 AM,False
AEROBIC_RUN,6/9/19,"24-25km @ PE 6-8, Aim for consistent, pacing & fuelling, ",8:00 AM,False
REST,6/10/19,Stretch,8:00 AM,False
INTERVAL_SWIM,6/11/19,"Total = 2,700m, MS = 4 x 200m @ PE 8, 4 x 150m @ PE 8, 4 x 100m @ PE 8, 4 x 50m @ PE 8, ",8:00 AM,False
INTERVAL_BIKE,6/12/19,"1:20hr, MS = 8 x 4mins big gear, high speed @ PE 8-9;, 4mins @ PE 5-6, ",8:00 AM,False
INTERVAL_RUN,6/13/19,"12km, MS = 10 x 1km @ PE 8-9;, 90secs complete rest, ",8:00 AM,False
AEROBIC_SWIM,6/14/19,"5 x 500m @ PE 6-8, Increase speed in final, 150m of each set, ",8:00 AM,False
AEROBIC_BIKE_RUN,6/15/19,"120-130km Bike @ PE 6-8, Undulating ride be, efficient when climbing, Run 5km @ PE 7, ",8:00 AM,False
RACE_PACE_RUN,6/16/19,"16km @ PE 5-8, Include 3 x 3km efforts, at desired IM race pace, ",8:00 AM,False
REST,6/17/19,Stretch,8:00 AM,False
TIME_TRIAL_SWIM,6/18/19,"2.5km, Include warm-up & cooldown, ",8:00 AM,False
TIME_TRIAL_BIKE,6/19/19,"80km, Create a 80km route, outdoors. Include warmup & cool-down, ",8:00 AM,False
RECOVERY_RUN,6/20/19,"10km @ PE 6, Must be a steady run., Forget fast., ",8:00 AM,False
OPEN_WATER_SWIM,6/21/19,"Total = 1,500m, Aim to include at least, 2 x 400m continuous, swim, plus focus on, using the buoyancy in, the wetsuit., ",8:00 AM,False
RACE_PACE_BIKE,6/22/19,"40km, MS = 2 x 10km efforts at, desired IM race pace, ",8:00 AM,False
TIME_TRIAL_RUN,6/23/19,"18km, Include warm-up &, cool-down, ",8:00 AM,False
REST,6/24/19,Stretch,8:00 AM,False
INTERVAL_SWIM,6/25/19,"Total = 2,800m, MS = 2 x, (400m/300m/200m/, 100m/50m), ALL @ PE 7-8, ",8:00 AM,False
INTERVAL_BIKE,6/26/19,"1:20hr, MS = 8 x (5mins big gear, high speed @ PE 8-9;, 3mins @ PE 5-6), ",8:00 AM,False
INTERVAL_RUN,6/27/19,"10km, MS = 8 x 1km @ PE 8-9;, 75secs complete rest, ",8:00 AM,False
OPEN_WATER_SWIM,6/28/19,"Total = 1,700m, Aim to include at least, 2 x 500m continuous, swims, plus focus on, 'sighting' on the marker, buoys, ",8:00 AM,False
AEROBIC_BIKE_RUN,6/29/19,"120km Bike @ PE 6-8, Find some long and, tough hills, 5km Run @ PE 7, ",8:00 AM,False
RACE_PACE_RUN,6/30/19,"16km @ PE 5-8, Include 3 x 3km efforts, at desired IM race pace, ",8:00 AM,False
REST,7/1/19,Stretch,8:00 AM,False
AEROBIC_SWIM,7/2/19,"5 x 500m @ PE 6-8, Increase speed in final, 150m of each set, ",8:00 AM,False
INTERVAL_BIKE,7/3/19,"1:20hr, MS = 3 x 15mins steady, seated climb @ PE 7-9;, 5mins @ PE 5, ",8:00 AM,False
INTERVAL_RUN,7/4/19,"10km, MS = 8 x 1km @ PE 8-9;, 60secs complete rest, ",8:00 AM,False
OPEN_WATER_SWIM,7/5/19,"Total = 1,800m, Aim to include 1 x 1km, continuous swim, plus, focus on swimming in, a group, ",8:00 AM,False
AEROBIC_RUN,7/6/19,"18km @ PE 6-8, Aim for consistent pacing, & fuelling, ",8:00 AM,False
BRICK,7/7/19,"100km, MS = Bike 90km @ PE, 7-8; Run 10km @ PE 8, Include warm-up &, cool-down",8:00 AM,False
REST,7/8/19,Stretch,8:00 AM,False
